Amount,Classification_Tag,Status,Year,Month,Day,Hour,DayOfWeek
1643.9,Bill_Payments,Completed,2024,1,18,0,Thursday
16.96,Bill_Payments,Completed,2024,2,13,16,Tuesday
2017.66,Transfers,Completed,2024,1,26,18,Friday
3301.27,Card_Payments,Pending,2024,2,2,19,Friday
1.5,Withdrawals,Completed,2024,1,28,16,Sunday
4644.87,Card_Payments,Pending,2024,1,21,12,Sunday
902.65,Bill_Payments,Completed,2024,1,30,3,Tuesday
3515.41,Withdrawals,Completed,2024,1,11,21,Thursday
4837.01,Card_Payments,Completed,2024,1,6,6,Saturday
2601.93,Card_Payments,Completed,2024,1,18,3,Thursday
1633.79,Pre_Funding,Completed,2024,1,16,8,Tuesday
1564.33,Transfers,Completed,2024,2,12,6,Monday
8493.9,Bill_Payments,Pending,2024,1,16,15,Tuesday
323.19,Pre_Funding,Completed,2024,1,29,7,Monday
620.33,Card_Payments,Completed,2024,2,29,20,Thursday
40.97,Card_Payments,Completed,2024,2,11,7,Sunday
2594.11,Transfers,Completed,2024,2,4,9,Sunday
6557.45,Pre_Funding,Completed,2024,2,1,22,Thursday
2024.72,Transfers,Completed,2024,1,27,23,Saturday
3223.73,Withdrawals,Completed,2024,1,24,11,Wednesday
490.61,Pre_Funding,Completed,2024,1,5,7,Friday
3414.5,Withdrawals,Completed,2024,1,19,13,Friday
3242.57,Transfers,Completed,2024,1,30,11,Tuesday
4909.92,Card_Payments,Completed,2024,2,13,20,Tuesday
1392.17,Transfers,Completed,2024,2,18,2,Sunday
27.83,Pre_Funding,Completed,2024,2,8,19,Thursday
132.44,Card_Payments,Completed,2024,2,16,9,Friday
15833.93,Withdrawals,Completed,2024,1,25,3,Thursday
27.2,Card_Payments,Completed,2024,2,19,21,Monday
15935.29,Pre_Funding,Completed,2024,2,26,2,Monday
2437.18,Card_Payments,Pending,2024,1,8,14,Monday
4856.98,Withdrawals,Completed,2024,1,11,0,Thursday
4057.0,Card_Payments,Completed,2024,2,3,18,Saturday
7.07,Bill_Payments,Completed,2024,1,14,8,Sunday
674.89,Withdrawals,Completed,2024,1,6,9,Saturday
182.15,Pre_Funding,Completed,2024,2,24,2,Saturday
1317.42,Pre_Funding,Completed,2024,2,19,0,Monday
4159.25,Transfers,Completed,2024,1,10,7,Wednesday
3174.55,Transfers,Completed,2024,2,5,5,Monday
1113.19,Bill_Payments,Completed,2024,2,16,12,Friday
1285.16,Withdrawals,Completed,2024,2,23,5,Friday
2553.32,Bill_Payments,Completed,2024,1,13,15,Saturday
1258.71,Card_Payments,Pending,2024,1,17,14,Wednesday
1210.03,Withdrawals,Pending,2024,2,4,13,Sunday
34.53,Card_Payments,Completed,2024,1,31,18,Wednesday
1323.32,Pre_Funding,Cancelled,2024,2,3,22,Saturday
881.65,Pre_Funding,Completed,2024,1,23,19,Tuesday
4185.23,Pre_Funding,Completed,2024,1,14,14,Sunday
30.06,Card_Payments,Completed,2024,1,28,3,Sunday
4969.49,Card_Payments,Pending,2024,2,18,7,Sunday
3797.96,Withdrawals,Completed,2024,2,4,6,Sunday
355.86,Withdrawals,Completed,2024,1,22,12,Monday
2976.76,Pre_Funding,Completed,2024,2,12,7,Monday
5.26,Pre_Funding,Pending,2024,2,13,21,Tuesday
3015.96,Withdrawals,Completed,2024,1,1,13,Monday
576.36,Bill_Payments,Completed,2024,2,2,14,Friday
19.07,Bill_Payments,Completed,2024,1,17,8,Wednesday
1895.86,Pre_Funding,Completed,2024,2,19,17,Monday
619.32,Pre_Funding,Completed,2024,2,21,10,Wednesday
4611.58,Card_Payments,Refunded,2024,1,6,14,Saturday
13169.41,Bill_Payments,Pending,2024,2,5,2,Monday
4600.19,Card_Payments,Completed,2024,1,26,18,Friday
2961.41,Transfers,Completed,2024,1,30,8,Tuesday
4073.51,Bill_Payments,Completed,2024,1,7,19,Sunday
883.24,Pre_Funding,Completed,2024,2,19,2,Monday
4686.14,Pre_Funding,Completed,2024,2,3,0,Saturday
3312.22,Card_Payments,Completed,2024,2,11,13,Sunday
1308.08,Card_Payments,Completed,2024,2,2,23,Friday
4.61,Bill_Payments,Completed,2024,1,11,0,Thursday
635.63,Card_Payments,Completed,2024,1,18,12,Thursday
12010.17,Card_Payments,Completed,2024,1,5,16,Friday
4492.5,Bill_Payments,Refunded,2024,1,4,6,Thursday
4067.59,Withdrawals,Completed,2024,1,28,16,Sunday
4284.4,Pre_Funding,Pending,2024,2,1,15,Thursday
1377.77,Withdrawals,Completed,2024,2,15,15,Thursday
4826.02,Bill_Payments,Cancelled,2024,2,18,17,Sunday
1168.02,Bill_Payments,Completed,2024,2,23,4,Friday
17172.13,Withdrawals,Completed,2024,2,18,19,Sunday
1906.18,Transfers,Completed,2024,2,2,7,Friday
31.71,Card_Payments,Completed,2024,1,5,19,Friday
1187.62,Withdrawals,Completed,2024,1,12,13,Friday
1402.86,Transfers,Completed,2024,1,4,11,Thursday
13135.84,Card_Payments,Pending,2024,2,26,10,Monday
3384.0,Withdrawals,Cancelled,2024,1,18,16,Thursday
10762.51,Bill_Payments,Completed,2024,2,8,23,Thursday
1.25,Pre_Funding,Completed,2024,2,21,16,Wednesday
1582.78,Pre_Funding,Completed,2024,1,11,11,Thursday
2363.23,Bill_Payments,Completed,2024,2,19,11,Monday
1216.07,Transfers,Pending,2024,2,6,1,Tuesday
3633.62,Card_Payments,Pending,2024,2,14,17,Wednesday
2581.1,Withdrawals,Completed,2024,1,9,11,Tuesday
1811.37,Withdrawals,Completed,2024,2,1,9,Thursday
19221.62,Card_Payments,Completed,2024,1,20,1,Saturday
1781.02,Transfers,Completed,2024,1,10,14,Wednesday
19.96,Card_Payments,Completed,2024,1,16,4,Tuesday
47.0,Transfers,Completed,2024,1,8,1,Monday
39.36,Transfers,Completed,2024,2,22,0,Thursday
3352.81,Pre_Funding,Refunded,2024,2,5,15,Monday
3472.02,Withdrawals,Chargeback,2024,1,3,14,Wednesday
3744.47,Card_Payments,Pending,2024,2,2,7,Friday
3211.93,Withdrawals,Completed,2024,2,8,2,Thursday
1930.59,Withdrawals,Refunded,2024,2,1,22,Thursday
15.64,Withdrawals,Completed,2024,1,1,11,Monday
47.97,Card_Payments,Pending,2024,1,24,10,Wednesday
4055.69,Pre_Funding,Completed,2024,1,6,12,Saturday
1124.06,Withdrawals,Refunded,2024,1,27,18,Saturday
1517.67,Pre_Funding,Completed,2024,1,5,6,Friday
1170.31,Withdrawals,Completed,2024,2,15,22,Thursday
3678.72,Pre_Funding,Cancelled,2024,2,7,11,Wednesday
9539.22,Card_Payments,Completed,2024,1,16,16,Tuesday
326.9,Bill_Payments,Completed,2024,1,25,11,Thursday
4630.34,Withdrawals,Completed,2024,2,24,13,Saturday
2310.15,Withdrawals,Completed,2024,2,16,2,Friday
7398.82,Withdrawals,Completed,2024,1,7,1,Sunday
36.27,Withdrawals,Cancelled,2024,2,28,17,Wednesday
732.05,Card_Payments,Completed,2024,2,18,10,Sunday
231.36,Transfers,Completed,2024,1,2,8,Tuesday
2772.7,Transfers,Completed,2024,2,24,22,Saturday
2503.68,Card_Payments,Completed,2024,1,10,14,Wednesday
1989.57,Card_Payments,Completed,2024,1,23,10,Tuesday
3476.48,Withdrawals,Completed,2024,2,12,1,Monday
1051.29,Bill_Payments,Completed,2024,1,29,18,Monday
1781.79,Pre_Funding,Pending,2024,2,16,13,Friday
3896.98,Bill_Payments,Completed,2024,1,7,21,Sunday
4201.13,Pre_Funding,Pending,2024,1,18,3,Thursday
22.56,Bill_Payments,Completed,2024,1,2,15,Tuesday
17.18,Withdrawals,Completed,2024,2,3,21,Saturday
1732.76,Withdrawals,Completed,2024,1,2,8,Tuesday
4830.07,Withdrawals,Completed,2024,1,23,10,Tuesday
4726.43,Card_Payments,Completed,2024,1,8,6,Monday
1173.49,Card_Payments,Completed,2024,1,22,17,Monday
1.06,Withdrawals,Completed,2024,2,6,21,Tuesday
3334.76,Bill_Payments,Completed,2024,1,2,12,Tuesday
1238.75,Pre_Funding,Completed,2024,2,25,15,Sunday
1683.76,Card_Payments,Completed,2024,2,29,11,Thursday
676.28,Bill_Payments,Pending,2024,1,10,11,Wednesday
4977.54,Withdrawals,Completed,2024,2,10,1,Saturday
4397.11,Card_Payments,Completed,2024,2,25,22,Sunday
1318.63,Bill_Payments,Cancelled,2024,1,22,16,Monday
1862.57,Pre_Funding,Completed,2024,1,25,21,Thursday
2774.35,Bill_Payments,Completed,2024,1,19,2,Friday
2747.55,Card_Payments,Completed,2024,1,2,4,Tuesday
4980.37,Card_Payments,Completed,2024,1,25,14,Thursday
18579.09,Transfers,Completed,2024,1,7,15,Sunday
4.57,Transfers,Completed,2024,2,26,10,Monday
2116.29,Bill_Payments,Completed,2024,1,12,16,Friday
33.98,Withdrawals,Completed,2024,2,2,9,Friday
16.34,Bill_Payments,Completed,2024,2,5,11,Monday
295.73,Withdrawals,Completed,2024,2,9,5,Friday
3619.2,Card_Payments,Completed,2024,2,1,19,Thursday
4153.92,Withdrawals,Cancelled,2024,3,1,0,Friday
1572.55,Bill_Payments,Completed,2024,2,24,22,Saturday
1093.8,Bill_Payments,Completed,2024,2,4,23,Sunday
2426.22,Bill_Payments,Refunded,2024,2,20,2,Tuesday
4042.78,Bill_Payments,Completed,2024,2,22,5,Thursday
9210.48,Transfers,Completed,2024,2,24,16,Saturday
587.19,Pre_Funding,Completed,2024,1,5,2,Friday
100.99,Bill_Payments,Completed,2024,1,30,17,Tuesday
3051.5,Transfers,Completed,2024,2,22,15,Thursday
366.5,Pre_Funding,Completed,2024,3,1,8,Friday
94.56,Pre_Funding,Completed,2024,1,13,22,Saturday
2515.25,Pre_Funding,Completed,2024,1,17,5,Wednesday
30.28,Pre_Funding,Cancelled,2024,2,5,3,Monday
2593.93,Card_Payments,Completed,2024,2,13,0,Tuesday
1486.22,Pre_Funding,Pending,2024,2,27,5,Tuesday
2457.67,Card_Payments,Pending,2024,2,25,23,Sunday
8408.53,Withdrawals,Completed,2024,1,9,1,Tuesday
47.64,Card_Payments,Completed,2024,1,11,22,Thursday
1991.75,Transfers,Cancelled,2024,2,1,12,Thursday
3493.46,Bill_Payments,Completed,2024,1,18,2,Thursday
9388.68,Transfers,Completed,2024,2,29,16,Thursday
816.04,Card_Payments,Completed,2024,1,2,16,Tuesday
24.86,Bill_Payments,Completed,2024,1,18,14,Thursday
2396.2,Withdrawals,Completed,2024,2,4,14,Sunday
989.93,Pre_Funding,Completed,2024,2,28,17,Wednesday
2635.55,Transfers,Completed,2024,1,2,7,Tuesday
4700.64,Transfers,Completed,2024,1,22,4,Monday
2924.29,Pre_Funding,Completed,2024,2,7,3,Wednesday
17.23,Transfers,Pending,2024,1,7,23,Sunday
4142.54,Card_Payments,Completed,2024,1,21,23,Sunday
3218.05,Pre_Funding,Completed,2024,2,28,4,Wednesday
1955.03,Bill_Payments,Completed,2024,1,23,3,Tuesday
1919.12,Pre_Funding,Completed,2024,2,18,8,Sunday
1543.19,Withdrawals,Completed,2024,2,11,16,Sunday
3511.02,Card_Payments,Completed,2024,1,12,4,Friday
192.17,Transfers,Completed,2024,2,14,7,Wednesday
14177.4,Withdrawals,Pending,2024,2,27,16,Tuesday
738.03,Card_Payments,Completed,2024,1,21,16,Sunday
2314.25,Transfers,Completed,2024,2,5,15,Monday
5.82,Card_Payments,Completed,2024,1,6,21,Saturday
3349.2,Bill_Payments,Completed,2024,1,4,18,Thursday
4908.32,Bill_Payments,Pending,2024,2,14,4,Wednesday
3377.21,Card_Payments,Completed,2024,2,7,10,Wednesday
2366.71,Transfers,Completed,2024,1,22,8,Monday
12054.54,Card_Payments,Completed,2024,2,1,12,Thursday
4546.67,Transfers,Completed,2024,1,16,11,Tuesday
452.51,Card_Payments,Completed,2024,1,11,8,Thursday
26.66,Transfers,Completed,2024,1,12,22,Friday
2275.44,Withdrawals,Completed,2024,2,25,14,Sunday
1988.21,Card_Payments,Pending,2024,1,19,2,Friday
3241.25,Transfers,Completed,2024,1,29,21,Monday
31.99,Withdrawals,Completed,2024,1,25,5,Thursday
3436.65,Withdrawals,Completed,2024,2,26,5,Monday
3498.51,Pre_Funding,Pending,2024,2,2,9,Friday
2057.54,Transfers,Completed,2024,2,26,18,Monday
8060.23,Card_Payments,Completed,2024,1,1,18,Monday
3649.49,Pre_Funding,Completed,2024,1,23,14,Tuesday
2242.43,Card_Payments,Completed,2024,2,17,7,Saturday
1873.48,Withdrawals,Completed,2024,2,4,10,Sunday
4574.67,Pre_Funding,Completed,2024,1,20,9,Saturday
14.59,Card_Payments,Completed,2024,1,10,4,Wednesday
15600.68,Withdrawals,Completed,2024,2,16,9,Friday
106.16,Withdrawals,Completed,2024,1,11,5,Thursday
1122.06,Pre_Funding,Refunded,2024,2,21,18,Wednesday
4371.44,Withdrawals,Completed,2024,2,22,0,Thursday
2098.99,Withdrawals,Completed,2024,2,13,23,Tuesday
3406.01,Withdrawals,Completed,2024,1,5,5,Friday
3254.04,Pre_Funding,Completed,2024,1,3,11,Wednesday
4157.25,Withdrawals,Completed,2024,1,21,15,Sunday
4330.51,Card_Payments,Completed,2024,2,13,19,Tuesday
2610.15,Card_Payments,Refunded,2024,1,10,10,Wednesday
5800.13,Pre_Funding,Completed,2024,1,31,21,Wednesday
4669.95,Transfers,Completed,2024,1,5,17,Friday
30.43,Pre_Funding,Completed,2024,2,21,22,Wednesday
1001.59,Withdrawals,Refunded,2024,1,18,2,Thursday
15136.25,Withdrawals,Completed,2024,1,15,13,Monday
4788.81,Bill_Payments,Completed,2024,2,11,16,Sunday
2382.95,Transfers,Completed,2024,2,25,15,Sunday
15014.72,Pre_Funding,Completed,2024,2,2,20,Friday
66.37,Card_Payments,Cancelled,2024,2,25,6,Sunday
3996.95,Pre_Funding,Completed,2024,2,28,9,Wednesday
18310.03,Transfers,Pending,2024,3,1,3,Friday
3169.98,Bill_Payments,Completed,2024,2,20,14,Tuesday
1385.26,Bill_Payments,Pending,2024,1,22,11,Monday
3940.85,Pre_Funding,Completed,2024,2,17,14,Saturday
3854.97,Bill_Payments,Completed,2024,1,23,14,Tuesday
3643.79,Pre_Funding,Completed,2024,2,10,13,Saturday
1489.57,Transfers,Completed,2024,1,7,0,Sunday
14676.25,Pre_Funding,Completed,2024,2,15,22,Thursday
2531.07,Pre_Funding,Completed,2024,2,10,0,Saturday
1898.5,Withdrawals,Pending,2024,1,9,15,Tuesday
2323.48,Pre_Funding,Completed,2024,2,14,14,Wednesday
4217.29,Bill_Payments,Completed,2024,1,19,19,Friday
2520.67,Withdrawals,Completed,2024,2,14,21,Wednesday
2084.35,Bill_Payments,Completed,2024,1,6,15,Saturday
1795.28,Withdrawals,Completed,2024,1,10,8,Wednesday
3536.59,Withdrawals,Completed,2024,1,9,21,Tuesday
4108.48,Withdrawals,Completed,2024,2,3,12,Saturday
3262.49,Pre_Funding,Pending,2024,2,3,14,Saturday
1236.88,Bill_Payments,Completed,2024,2,20,12,Tuesday
1353.21,Transfers,Completed,2024,2,19,12,Monday
1508.76,Bill_Payments,Completed,2024,2,16,7,Friday
3686.39,Transfers,Completed,2024,1,10,17,Wednesday
4065.19,Transfers,Completed,2024,2,15,3,Thursday
4727.98,Pre_Funding,Pending,2024,2,28,18,Wednesday
2426.55,Transfers,Completed,2024,2,6,2,Tuesday
4087.57,Bill_Payments,Completed,2024,1,5,13,Friday
2166.02,Bill_Payments,Completed,2024,1,27,18,Saturday
42.02,Bill_Payments,Cancelled,2024,1,22,21,Monday
11.13,Bill_Payments,Completed,2024,2,10,21,Saturday
5840.51,Withdrawals,Completed,2024,1,29,0,Monday
18472.45,Card_Payments,Completed,2024,1,28,13,Sunday
3064.86,Card_Payments,Completed,2024,1,11,19,Thursday
1018.72,Transfers,Completed,2024,2,7,17,Wednesday
1397.4,Transfers,Completed,2024,1,6,19,Saturday
4133.93,Withdrawals,Completed,2024,2,2,15,Friday
2349.85,Bill_Payments,Cancelled,2024,1,12,14,Friday
2340.37,Pre_Funding,Completed,2024,1,4,22,Thursday
2702.89,Withdrawals,Completed,2024,2,20,7,Tuesday
3885.04,Bill_Payments,Completed,2024,1,23,2,Tuesday
32.95,Withdrawals,Pending,2024,1,23,7,Tuesday
1577.04,Bill_Payments,Completed,2024,1,7,12,Sunday
2953.88,Withdrawals,Refunded,2024,1,10,5,Wednesday
3557.7,Card_Payments,Completed,2024,1,17,9,Wednesday
3.27,Pre_Funding,Completed,2024,2,1,10,Thursday
3177.26,Pre_Funding,Completed,2024,2,20,3,Tuesday
2202.27,Transfers,Completed,2024,2,7,9,Wednesday
834.58,Transfers,Completed,2024,2,25,14,Sunday
3508.82,Transfers,Cancelled,2024,1,26,18,Friday
3568.1,Transfers,Completed,2024,2,2,3,Friday
810.08,Bill_Payments,Completed,2024,1,31,18,Wednesday
4143.86,Card_Payments,Completed,2024,1,10,10,Wednesday
3061.87,Bill_Payments,Completed,2024,2,2,6,Friday
1694.46,Card_Payments,Completed,2024,2,10,18,Saturday
3538.53,Card_Payments,Cancelled,2024,2,11,18,Sunday
3892.48,Bill_Payments,Completed,2024,1,25,0,Thursday
1920.7,Withdrawals,Completed,2024,1,2,7,Tuesday
1999.9,Bill_Payments,Completed,2024,2,4,18,Sunday
3340.65,Pre_Funding,Pending,2024,2,22,19,Thursday
20.13,Withdrawals,Completed,2024,1,29,15,Monday
6332.02,Card_Payments,Completed,2024,2,24,23,Saturday
3255.9,Transfers,Completed,2024,2,1,5,Thursday
4108.47,Pre_Funding,Cancelled,2024,1,18,11,Thursday
886.53,Bill_Payments,Completed,2024,1,27,16,Saturday
15421.22,Withdrawals,Completed,2024,2,24,8,Saturday
704.28,Withdrawals,Completed,2024,1,2,16,Tuesday
3586.5,Pre_Funding,Completed,2024,1,24,14,Wednesday
266.43,Pre_Funding,Pending,2024,1,26,8,Friday
3975.43,Withdrawals,Pending,2024,1,3,6,Wednesday
4211.31,Withdrawals,Completed,2024,2,28,16,Wednesday
37.16,Card_Payments,Completed,2024,2,16,1,Friday
3614.66,Bill_Payments,Completed,2024,2,15,23,Thursday
155.19,Withdrawals,Refunded,2024,1,17,10,Wednesday
3086.8,Pre_Funding,Completed,2024,1,26,20,Friday
265.61,Withdrawals,Completed,2024,2,27,4,Tuesday
3558.26,Pre_Funding,Pending,2024,1,24,14,Wednesday
274.09,Transfers,Chargeback,2024,1,9,4,Tuesday
2916.64,Withdrawals,Completed,2024,1,23,16,Tuesday
2107.36,Card_Payments,Completed,2024,2,28,12,Wednesday
968.47,Transfers,Completed,2024,2,28,17,Wednesday
4473.53,Bill_Payments,Completed,2024,1,12,22,Friday
2185.68,Withdrawals,Completed,2024,2,15,19,Thursday
2002.45,Card_Payments,Completed,2024,2,17,9,Saturday
3981.08,Pre_Funding,Completed,2024,1,12,2,Friday
1153.21,Card_Payments,Completed,2024,2,13,21,Tuesday
4321.41,Pre_Funding,Completed,2024,2,3,21,Saturday
1980.09,Card_Payments,Completed,2024,2,5,7,Monday
15629.88,Bill_Payments,Completed,2024,2,18,10,Sunday
19.52,Withdrawals,Completed,2024,2,1,6,Thursday
6242.85,Bill_Payments,Completed,2024,2,19,22,Monday
1034.27,Pre_Funding,Cancelled,2024,1,4,4,Thursday
1808.18,Withdrawals,Cancelled,2024,1,16,12,Tuesday
1741.39,Pre_Funding,Completed,2024,2,28,4,Wednesday
3290.99,Pre_Funding,Completed,2024,1,1,1,Monday
1276.74,Bill_Payments,Completed,2024,2,13,11,Tuesday
1405.89,Transfers,Completed,2024,1,15,3,Monday
3607.39,Card_Payments,Completed,2024,2,27,16,Tuesday
670.02,Transfers,Pending,2024,2,22,13,Thursday
4523.99,Pre_Funding,Completed,2024,2,10,20,Saturday
3643.3,Withdrawals,Completed,2024,2,4,23,Sunday
24.4,Bill_Payments,Completed,2024,2,15,22,Thursday
3632.33,Withdrawals,Completed,2024,2,13,23,Tuesday
25.68,Card_Payments,Completed,2024,1,7,3,Sunday
2315.98,Bill_Payments,Chargeback,2024,1,28,12,Sunday
3220.07,Card_Payments,Completed,2024,1,18,9,Thursday
2381.94,Transfers,Completed,2024,1,19,7,Friday
3710.13,Pre_Funding,Completed,2024,1,3,15,Wednesday
1723.39,Withdrawals,Pending,2024,2,28,9,Wednesday
3273.32,Card_Payments,Completed,2024,2,13,22,Tuesday
4707.94,Transfers,Completed,2024,1,24,16,Wednesday
1233.66,Withdrawals,Completed,2024,1,9,17,Tuesday
4464.38,Withdrawals,Completed,2024,2,20,8,Tuesday
2959.46,Pre_Funding,Completed,2024,2,1,20,Thursday
1261.82,Card_Payments,Chargeback,2024,1,12,6,Friday
511.09,Withdrawals,Completed,2024,2,12,10,Monday
10192.7,Transfers,Completed,2024,2,27,15,Tuesday
4770.43,Transfers,Completed,2024,2,29,21,Thursday
3295.02,Transfers,Refunded,2024,2,22,9,Thursday
18017.27,Withdrawals,Cancelled,2024,1,14,10,Sunday
855.38,Withdrawals,Completed,2024,1,31,7,Wednesday
622.28,Card_Payments,Completed,2024,1,11,0,Thursday
1513.38,Pre_Funding,Completed,2024,2,7,18,Wednesday
548.35,Transfers,Completed,2024,3,1,19,Friday
4655.17,Bill_Payments,Pending,2024,2,25,1,Sunday
101.3,Withdrawals,Chargeback,2024,1,16,0,Tuesday
4326.44,Transfers,Completed,2024,2,26,5,Monday
31.84,Transfers,Cancelled,2024,2,19,7,Monday
3401.85,Pre_Funding,Completed,2024,2,13,22,Tuesday
6940.01,Pre_Funding,Completed,2024,1,7,12,Sunday
3938.58,Withdrawals,Completed,2024,1,13,19,Saturday
137.65,Card_Payments,Completed,2024,2,1,22,Thursday
3875.07,Transfers,Completed,2024,1,3,5,Wednesday
4479.29,Pre_Funding,Completed,2024,1,13,14,Saturday
545.47,Bill_Payments,Completed,2024,1,6,13,Saturday
3315.71,Withdrawals,Completed,2024,1,7,21,Sunday
2483.59,Pre_Funding,Completed,2024,2,20,13,Tuesday
2583.19,Transfers,Completed,2024,1,24,21,Wednesday
140.86,Bill_Payments,Completed,2024,1,13,13,Saturday
3585.74,Withdrawals,Completed,2024,1,18,19,Thursday
3894.52,Card_Payments,Completed,2024,2,21,13,Wednesday
4039.5,Card_Payments,Completed,2024,1,22,22,Monday
2918.81,Transfers,Completed,2024,2,27,5,Tuesday
3025.54,Withdrawals,Completed,2024,2,4,0,Sunday
4415.39,Withdrawals,Completed,2024,2,24,0,Saturday
4774.28,Bill_Payments,Completed,2024,2,6,1,Tuesday
9.11,Withdrawals,Pending,2024,1,28,13,Sunday
2472.92,Card_Payments,Completed,2024,2,5,22,Monday
207.61,Bill_Payments,Completed,2024,1,5,10,Friday
35.39,Bill_Payments,Completed,2024,2,21,9,Wednesday
7993.09,Card_Payments,Completed,2024,2,6,3,Tuesday
3497.79,Bill_Payments,Completed,2024,2,17,7,Saturday
40.8,Withdrawals,Completed,2024,2,29,20,Thursday
4194.16,Transfers,Cancelled,2024,1,9,23,Tuesday
44.09,Transfers,Completed,2024,1,5,10,Friday
1888.78,Withdrawals,Pending,2024,1,24,11,Wednesday
1089.68,Bill_Payments,Completed,2024,1,29,0,Monday
3853.82,Card_Payments,Completed,2024,2,28,18,Wednesday
1904.96,Bill_Payments,Completed,2024,1,6,21,Saturday
3923.49,Pre_Funding,Completed,2024,1,11,16,Thursday
16.68,Bill_Payments,Completed,2024,2,27,19,Tuesday
3385.22,Bill_Payments,Completed,2024,2,6,15,Tuesday
442.33,Card_Payments,Completed,2024,2,12,19,Monday
299.16,Withdrawals,Completed,2024,1,29,7,Monday
10503.9,Card_Payments,Chargeback,2024,1,6,11,Saturday
3806.57,Transfers,Completed,2024,1,23,6,Tuesday
3220.67,Pre_Funding,Cancelled,2024,1,6,15,Saturday
2004.86,Pre_Funding,Completed,2024,2,9,2,Friday
2528.49,Transfers,Pending,2024,2,28,1,Wednesday
19192.17,Withdrawals,Completed,2024,1,28,13,Sunday
2652.31,Withdrawals,Pending,2024,1,27,7,Saturday
1187.58,Withdrawals,Completed,2024,1,13,9,Saturday
15763.31,Pre_Funding,Completed,2024,2,14,3,Wednesday
290.66,Transfers,Completed,2024,1,16,0,Tuesday
501.34,Transfers,Completed,2024,1,12,7,Friday
2976.72,Card_Payments,Completed,2024,1,19,6,Friday
1529.71,Card_Payments,Completed,2024,2,19,14,Monday
9.89,Card_Payments,Chargeback,2024,2,18,14,Sunday
7.43,Card_Payments,Completed,2024,2,10,12,Saturday
2638.35,Pre_Funding,Completed,2024,2,4,5,Sunday
489.34,Transfers,Completed,2024,2,20,16,Tuesday
2850.68,Transfers,Completed,2024,1,18,12,Thursday
4805.61,Card_Payments,Completed,2024,2,25,21,Sunday
126.05,Transfers,Completed,2024,2,26,12,Monday
2623.15,Card_Payments,Completed,2024,1,16,18,Tuesday
3334.75,Card_Payments,Completed,2024,1,31,11,Wednesday
12958.7,Transfers,Completed,2024,1,19,20,Friday
1318.38,Card_Payments,Cancelled,2024,2,17,14,Saturday
3930.73,Card_Payments,Completed,2024,2,16,3,Friday
144.65,Bill_Payments,Completed,2024,1,12,22,Friday
9.14,Withdrawals,Completed,2024,2,13,13,Tuesday
