Transaction_ID,Customer_ID,Transaction_Date,Description,Amount,Classification_Tag,Transaction_Time,Status,Disputed,FraudFlag,IsDuplicate,VerificationStatus,SettlementStatus,HighValue,ManualReviewFlag,Classified_Status
TXN701286,CUST0034,23/02/2024,Cash withdrawal at branch,18.71,Withdrawals,06:31:33,Pending,False,False,False,Failed,Not Settled,False,False,Pending
TXN477610,CUST0124,16/01/2024,Wire transfer received,15754.63,Transfers,21:09:38,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN895200,CUST0105,01/02/2024,Bank transfer to savings,2262.47,Transfers,12:09:27,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN249139,CUST0076,12/01/2024,Electricity bill payment,3969.56,Bill_Payments,17:56:10,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN339263,CUST0141,01/03/2024,E-wallet top-up,485.72,Pre-Funding,07:02:16,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN946823,CUST0107,26/02/2024,Online purchase - electronics,3299.32,Card_Payments,01:47:45,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN586803,CUST0090,31/01/2024,Electricity bill payment,3238.3,Bill_Payments,10:14:11,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN508536,CUST0018,25/01/2024,E-wallet top-up,175.29,Pre-Funding,16:39:51,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN320947,CUST0064,27/01/2024,Water bill settlement,4370.97,Bill_Payments,07:54:14,Refunded,False,False,False,Pending,Settled,True,False,Pending
TXN893766,CUST0048,18/02/2024,Electricity bill payment,4606.86,Bill_Payments,15:33:04,Cancelled,False,False,False,Pending,Settled,True,False,Pending
TXN310015,CUST0031,03/02/2024,Bank transfer to savings,1968.86,Transfers,13:41:59,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN977972,CUST0008,23/01/2024,Water bill settlement,4088.87,Bill_Payments,03:12:59,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN122636,CUST0070,29/01/2024,Bank transfer to savings,1598.1,Transfers,22:29:31,Pending,False,False,False,Pending,Not Settled,True,False,Pending
TXN653535,CUST0118,02/02/2024,Electricity bill payment,1107.81,Bill_Payments,21:43:07,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN103519,CUST0193,20/02/2024,Restaurant bill payment,1868.79,Card_Payments,14:27:04,Completed,False,False,False,Pending,Settled,True,False,Pending
TXN657444,CUST0174,29/01/2024,Wire transfer received,1088.25,Transfers,22:54:23,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN820132,CUST0022,16/01/2024,Salary deposit,2573.06,Pre-Funding,12:01:45,Chargeback,False,False,False,Completed,Settled,True,True,Pending
TXN125044,CUST0068,29/01/2024,E-wallet top-up,9911.95,Pre-Funding,04:57:23,Cancelled,False,False,False,Completed,Settled,True,True,Pending
TXN663953,CUST0144,09/01/2024,Electricity bill payment,2798.0,Bill_Payments,09:06:54,Cancelled,False,False,False,Completed,Settled,True,False,Completed
TXN265192,CUST0162,03/01/2024,Cash withdrawal at branch,10.3,Withdrawals,07:09:35,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN891032,CUST0066,28/01/2024,Account pre-funding deposit,2917.23,Pre-Funding,09:52:06,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN449323,CUST0114,19/02/2024,Salary deposit,38.0,Pre-Funding,16:22:18,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN410765,CUST0034,01/02/2024,Money transfer via mobile,76.8,Transfers,11:41:24,Refunded,False,False,False,Completed,Settled,False,False,Completed
TXN804463,CUST0139,06/02/2024,Cash withdrawal at branch,2470.67,Withdrawals,19:31:54,Refunded,False,False,False,Completed,Settled,True,False,Pending
TXN989702,CUST0116,27/02/2024,POS cash withdrawal,20.51,Withdrawals,17:02:29,Completed,False,False,False,Failed,Settled,False,False,Completed
TXN673395,CUST0074,29/02/2024,Wire transfer received,1556.68,Transfers,03:55:44,Cancelled,False,False,False,Completed,Settled,True,False,Pending
TXN347983,CUST0107,27/01/2024,E-wallet top-up,3151.59,Pre-Funding,10:57:27,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN392347,CUST0169,18/01/2024,Water bill settlement,1643.9,Bill_Payments,00:01:00,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN324877,CUST0158,13/02/2024,Water bill settlement,16.96,Bill_Payments,16:42:39,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN608715,CUST0141,26/01/2024,Bank transfer to savings,2017.66,Transfers,18:54:50,Completed,False,False,False,Failed,Settled,True,False,Pending
TXN964957,CUST0088,02/02/2024,Restaurant bill payment,3301.27,Card_Payments,19:36:03,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN217824,CUST0163,28/01/2024,ATM withdrawal,1.5,Withdrawals,16:57:09,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN517837,CUST0096,21/01/2024,Restaurant bill payment,4644.87,Card_Payments,12:01:07,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN267711,CUST0199,30/01/2024,Internet subscription renewal,902.65,Bill_Payments,03:13:22,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN522891,CUST0124,11/01/2024,Cash withdrawal at branch,3515.41,Withdrawals,21:36:36,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN223245,CUST0048,06/01/2024,Online purchase - electronics,4837.01,Card_Payments,06:14:16,Completed,False,False,False,Pending,Settled,True,False,Pending
TXN703242,CUST0123,18/01/2024,Restaurant bill payment,2601.93,Card_Payments,03:14:51,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN942918,CUST0039,16/01/2024,Account pre-funding deposit,1633.79,Pre-Funding,08:26:57,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN136079,CUST0096,12/02/2024,Money transfer via mobile,1564.33,Transfers,06:52:44,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN951876,CUST0053,16/01/2024,Water bill settlement,8493.9,Bill_Payments,15:44:09,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN397659,CUST0094,29/01/2024,Salary deposit,323.19,Pre-Funding,07:39:38,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN565189,CUST0138,29/02/2024,Online purchase - electronics,620.33,Card_Payments,20:31:31,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN615494,CUST0053,11/02/2024,Online purchase - electronics,40.97,Card_Payments,07:00:20,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN819092,CUST0027,04/02/2024,Bank transfer to savings,2594.11,Transfers,09:28:51,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN553567,CUST0062,01/02/2024,Account pre-funding deposit,6557.45,Pre-Funding,22:15:27,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN855475,CUST0067,27/01/2024,Wire transfer received,2024.72,Transfers,23:18:36,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN368338,CUST0025,24/01/2024,Cash withdrawal at branch,3223.73,Withdrawals,11:56:47,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN851947,CUST0030,05/01/2024,E-wallet top-up,490.61,Pre-Funding,07:56:12,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN818467,CUST0167,19/01/2024,ATM withdrawal,3414.5,Withdrawals,13:09:55,Completed,False,False,False,Pending,Settled,True,False,Pending
TXN981984,CUST0148,30/01/2024,Wire transfer received,3242.57,Transfers,11:10:18,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN649776,CUST0058,13/02/2024,Online purchase - electronics,4909.92,Card_Payments,20:22:15,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN712728,CUST0098,18/02/2024,Bank transfer to savings,1392.17,Transfers,02:16:46,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN322595,CUST0190,08/02/2024,Account pre-funding deposit,27.83,Pre-Funding,19:10:10,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN174277,CUST0139,16/02/2024,Online purchase - electronics,132.44,Card_Payments,09:59:22,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN192368,CUST0078,25/01/2024,Cash withdrawal at branch,15833.93,Withdrawals,03:32:06,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN589834,CUST0024,19/02/2024,Grocery store card payment,27.2,Card Payments,21:23:33,Completed,False,True,False,Completed,Settled,False,False,Pending
TXN872826,CUST0198,26/02/2024,Salary deposit,15935.29,Pre-Funding,02:51:03,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN212224,CUST0015,08/01/2024,Grocery store card payment,2437.18,Card_Payments,14:52:35,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN753159,CUST0184,11/01/2024,POS cash withdrawal,4856.98,Withdrawals,00:39:21,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN399895,CUST0192,03/02/2024,Restaurant bill payment,4057.0,Card_Payments,18:18:11,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN452709,CUST0048,14/01/2024,Electricity bill payment,7.07,Bill_Payments,08:27:12,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN416489,CUST0117,06/01/2024,ATM withdrawal,674.89,Withdrawals,09:30:18,Completed,False,False,False,Failed,Settled,False,False,Completed
TXN940804,CUST0181,24/02/2024,E-wallet top-up,182.15,Pre-Funding,02:57:56,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN842420,CUST0095,19/02/2024,E-wallet top-up,1317.42,Pre-Funding,00:00:10,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN997706,CUST0089,10/01/2024,Bank transfer to savings,4159.25,Transfers,07:12:16,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN287487,CUST0034,05/02/2024,Money transfer via mobile,3174.55,Transfers,05:40:01,Completed,False,False,False,Pending,Settled,True,False,Pending
TXN831082,CUST0065,16/02/2024,Internet subscription renewal,1113.19,Bill_Payments,12:12:12,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN566744,CUST0138,23/02/2024,Cash withdrawal at branch,1285.16,Withdrawals,05:56:39,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN139222,CUST0008,13/01/2024,Water bill settlement,2553.32,Bill_Payments,15:29:44,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN814515,CUST0126,17/01/2024,Grocery store card payment,1258.71,Card_Payments,14:02:23,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN595965,CUST0002,04/02/2024,Cash withdrawal at branch,1210.03,Withdrawals,13:58:32,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN198755,CUST0007,31/01/2024,Grocery store card payment,34.53,Card_Payments,18:32:52,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN530040,CUST0161,03/02/2024,Account pre-funding deposit,1323.32,Pre-Funding,22:31:01,Cancelled,False,False,False,Completed,Settled,True,True,Pending
TXN425474,CUST0109,23/01/2024,E-wallet top-up,881.65,Pre-Funding,19:45:59,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN604124,CUST0060,14/01/2024,Salary deposit,4185.23,Pre-Funding,14:31:33,Completed,False,False,False,Pending,Settled,True,True,Pending
TXN972063,CUST0175,28/01/2024,Grocery store card payment,30.06,Card_Payments,03:47:20,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN439817,CUST0013,18/02/2024,Restaurant bill payment,4969.49,Card_Payments,07:54:43,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN647644,CUST0134,04/02/2024,Cash withdrawal at branch,3797.96,Withdrawals,06:17:03,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN324465,CUST0101,22/01/2024,POS cash withdrawal,355.86,Withdrawals,12:31:15,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN605186,CUST0110,12/02/2024,Salary deposit,2976.76,Pre-Funding,07:36:42,Completed,False,False,False,Pending,Settled,True,True,Pending
TXN396376,CUST0107,13/02/2024,Salary deposit,5.26,Pre-Funding,21:44:13,Pending,False,False,False,Completed,Not Settled,False,False,Pending
TXN842800,CUST0141,01/01/2024,Cash withdrawal at branch,3015.96,Withdrawals,13:19:37,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN882302,CUST0025,02/02/2024,Internet subscription renewal,576.36,Bill_Payments,14:13:07,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN744216,CUST0050,17/01/2024,Electricity bill payment,19.07,Bill_Payments,08:48:03,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN661903,CUST0063,19/02/2024,Account pre-funding deposit,1895.86,Pre-Funding,17:43:43,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN456565,CUST0074,21/02/2024,Salary deposit,619.32,Pre-Funding,10:22:39,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN806616,CUST0064,06/01/2024,Grocery store card payment,4611.58,Card_Payments,14:10:03,Refunded,False,False,False,Completed,Settled,True,False,Completed
TXN527401,CUST0162,05/02/2024,Internet subscription renewal,13169.41,Bill_Payments,02:22:00,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN250003,CUST0017,26/01/2024,Online purchase - electronics,4600.19,Card_Payments,18:01:20,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN626979,CUST0171,30/01/2024,Wire transfer received,2961.41,Transfers,08:29:31,Completed,False,False,False,Pending,Settled,True,False,Pending
TXN897428,CUST0034,07/01/2024,Internet subscription renewal,4073.51,Bill_Payments,19:06:59,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN228083,CUST0192,19/02/2024,Account pre-funding deposit,883.24,Pre-Funding,02:37:16,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN495724,CUST0121,03/02/2024,Salary deposit,4686.14,Pre-Funding,00:07:01,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN720889,CUST0009,11/02/2024,Online purchase - electronics,3312.22,Card_Payments,13:33:47,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN825196,CUST0009,02/02/2024,Restaurant bill payment,1308.08,Card_Payments,23:49:09,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN902069,CUST0086,11/01/2024,Water bill settlement,4.61,Bill_Payments,00:51:49,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN665867,CUST0191,18/01/2024,Grocery store card payment,635.63,Card_Payments,12:24:11,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN991907,CUST0060,05/01/2024,Restaurant bill payment,12010.17,Card_Payments,16:57:54,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN168283,CUST0011,04/01/2024,Water bill settlement,4492.5,Bill_Payments,06:18:48,Refunded,False,False,False,Completed,Settled,True,False,Completed
TXN314976,CUST0082,28/01/2024,ATM withdrawal,4067.59,Withdrawals,16:09:44,Completed,False,False,False,Pending,Settled,True,False,Pending
TXN582462,CUST0060,01/02/2024,Account pre-funding deposit,4284.4,Pre-Funding,15:40:11,Pending,False,False,False,Completed,Not Settled,True,True,Pending
TXN122250,CUST0172,15/02/2024,POS cash withdrawal,1377.77,Withdrawals,15:16:49,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN901876,CUST0024,18/02/2024,Internet subscription renewal,4826.02,Bill_Payments,17:02:18,Cancelled,False,False,False,Completed,Settled,True,False,Completed
TXN802989,CUST0011,23/02/2024,Water bill settlement,1168.02,Bill_Payments,04:02:24,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN830619,CUST0180,18/02/2024,ATM withdrawal,17172.13,Withdrawals.  ,19:53:02,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN362214,CUST0001,02/02/2024,Bank transfer to savings,1906.18,Transfers,07:16:24,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN318915,CUST0039,05/01/2024,Grocery store card payment,31.71,Card_Payments,19:50:49,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN233590,CUST0150,12/01/2024,ATM withdrawal,1187.62,Withdrawals,13:54:15,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN733933,CUST0002,04/01/2024,Money transfer via mobile,1402.86,Transfers,11:06:56,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN504455,CUST0139,26/02/2024,Grocery store card payment,13135.84,Card_Payments,10:58:22,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN338809,CUST0028,18/01/2024,ATM withdrawal,3384.0,Withdrawals,16:55:21,Cancelled,False,False,False,Pending,Settled,True,False,Pending
TXN738790,CUST0023,08/02/2024,Electricity bill payment,10762.51,BillPayments,23:57:53,Completed,False,True,False,Completed,Settled,True,False,Chargeback
TXN401553,CUST0146,21/02/2024,E-wallet top-up,1.25,Pre-Funding,16:24:08,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN360790,CUST0199,11/01/2024,Salary deposit,1582.78,Prefunding,11:57:24,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN694460,CUST0029,19/02/2024,Water bill settlement,2363.23,Bill_Payments,11:57:52,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN690852,CUST0016,06/02/2024,Wire transfer received,1216.07,Transfers,01:31:20,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN230325,CUST0103,14/02/2024,Restaurant bill payment,3633.62,Card_Payments,17:35:52,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN475587,CUST0036,09/01/2024,POS cash withdrawal,2581.1,Withdrawals,11:52:01,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN188303,CUST0016,01/02/2024,Cash withdrawal at branch,1811.37,Withdrawals,09:25:08,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN144524,CUST0096,20/01/2024,Restaurant bill payment,19221.62,Card_Payments,01:26:24,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN388617,CUST0142,10/01/2024,Money transfer via mobile,1781.02,Transfers,14:46:48,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN924280,CUST0138,16/01/2024,Grocery store card payment,19.96,Card_Payments,04:54:07,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN316332,CUST0079,08/01/2024,Bank transfer to savings,47.0,Transfers,01:53:36,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN331682,CUST0055,22/02/2024,Money transfer via mobile,39.36,Transfers,00:01:14,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN203086,CUST0023,05/02/2024,Salary deposit,3352.81,Pre-Funding,15:46:28,Refunded,False,False,False,Pending,Settled,True,True,Pending
TXN730015,CUST0119,03/01/2024,POS cash withdrawal,3472.02,Withdrawals,14:22:08,Chargeback,False,False,False,Failed,Settled,True,False,Pending
TXN692409,CUST0187,02/02/2024,Grocery store card payment,3744.47,Card_Payments,07:03:41,Pending,False,False,False,Completed,Not Settled,True,False,Pending
TXN476822,CUST0199,08/02/2024,POS cash withdrawal,3211.93,Withdrawals,02:36:46,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN885940,CUST0171,01/02/2024,ATM withdrawal,1930.59,Withdrawals,22:57:25,Refunded,False,False,False,Completed,Settled,True,False,Pending
TXN210229,CUST0068,01/01/2024,Cash withdrawal at branch,15.64,Withdrawals,11:28:17,Completed,False,False,False,Pending,Settled,False,False,Pending
TXN295195,CUST0130,24/01/2024,Grocery store card payment,47.97,Card_Payments,10:43:57,Pending,False,False,False,Pending,Not Settled,False,False,Pending
TXN844903,CUST0042,06/01/2024,Salary deposit,4055.69,Pre-Funding,12:53:11,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN629531,CUST0133,27/01/2024,ATM withdrawal,1124.06,Withdrawals,18:06:43,Refunded,False,False,False,Completed,Settled,True,False,Pending
TXN170549,CUST0028,05/01/2024,Account pre-funding deposit,1517.67,Pre-Funding,06:00:19,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN168423,CUST0077,15/02/2024,ATM withdrawal,1170.31,Withdrawals,22:49:38,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN889151,CUST0024,07/02/2024,Account pre-funding deposit,3678.72,Pre-Funding,11:31:04,Cancelled,False,False,False,Completed,Settled,True,True,Pending
TXN501111,CUST0191,16/01/2024,Restaurant bill payment,9539.22,Card_Payments,16:58:08,Completed,False,False,False,Pending,Settled,True,False,Pending
TXN183185,CUST0084,25/01/2024,Water bill settlement,326.9,Bill_Payments,11:34:41,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN864580,CUST0087,24/02/2024,ATM withdrawal,4630.34,Withdrawals,13:27:00,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN213552,CUST0090,16/02/2024,POS cash withdrawal,2310.15,Withdrawals,02:57:42,Completed,False,False,False,Pending,Settled,True,False,Pending
TXN629686,CUST0030,07/01/2024,Cash withdrawal at branch,7398.82,Withdrawals,01:20:37,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN934918,CUST0034,28/02/2024,Cash withdrawal at branch,36.27,Withdrawals,17:31:14,Cancelled,False,False,False,Completed,Settled,False,False,Completed
TXN209753,CUST0095,18/02/2024,Online purchase - electronics,732.05,Card_Payments,10:17:49,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN544058,CUST0135,02/01/2024,Wire transfer received,231.36,Transfers,08:07:48,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN342062,CUST0086,24/02/2024,Bank transfer to savings,2772.7,Transfers,22:50:47,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN612345,CUST0001,10/01/2024,Online purchase - electronics,2503.68,Card_Payments,14:22:55,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN272064,CUST0073,23/01/2024,Online purchase - electronics,1989.57,Card_Payments,10:04:58,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN520156,CUST0192,12/02/2024,ATM withdrawal,3476.48,Withdrawals,01:03:06,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN100586,CUST0048,29/01/2024,Water bill settlement,1051.29,Bill_Payments,18:18:03,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN716986,CUST0107,16/02/2024,Account pre-funding deposit,1781.79,Pre-Funding,13:39:49,Pending,False,False,False,Completed,Not Settled,True,True,Pending
TXN821979,CUST0122,07/01/2024,Water bill settlement,3896.98,Bill_Payments,21:22:52,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN644332,CUST0100,18/01/2024,Salary deposit,4201.13,Pre-Funding,03:57:38,Pending,False,False,False,Completed,Not Settled,True,True,Pending
TXN511486,CUST0066,02/01/2024,Water bill settlement,22.56,Bill_Payments,15:23:54,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN986868,CUST0114,03/02/2024,Cash withdrawal at branch,17.18,Withdrawals,21:04:40,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN971567,CUST0151,02/01/2024,ATM withdrawal,1732.76,Withdrawals,08:27:35,Completed,False,True,False,Completed,Settled,True,False,Chargeback
TXN432994,CUST0017,23/01/2024,POS cash withdrawal,4830.07,Withdrawals,10:58:10,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN449714,CUST0175,08/01/2024,Grocery store card payment,4726.43,Card_Payments,06:04:53,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN449706,CUST0192,22/01/2024,Online purchase - electronics,1173.49,Card_Payments,17:12:08,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN516549,CUST0022,06/02/2024,POS cash withdrawal,1.06,Withdrawals,21:01:09,Completed,False,False,False,Pending,Settled,False,False,Pending
TXN572966,CUST0152,02/01/2024,Electricity bill payment,3334.76,Bill_Payments,12:57:33,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN191157,CUST0068,25/02/2024,Account pre-funding deposit,1238.75,Pre-Funding,15:29:56,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN692338,CUST0011,29/02/2024,Online purchase - electronics,1683.76,Card_Payments,11:49:00,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN395485,CUST0056,10/01/2024,Electricity bill payment,676.28,Bill_Payments,11:42:02,Pending,False,False,False,Completed,Not Settled,False,False,Pending
TXN993831,CUST0070,10/02/2024,POS cash withdrawal,4977.54,Withdrawals,01:03:08,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN136706,CUST0124,25/02/2024,Online purchase - electronics,4397.11,Card_Payments,22:31:29,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN422997,CUST0139,22/01/2024,Electricity bill payment,1318.63,Bill_Payments,16:38:59,Cancelled,False,False,False,Completed,Settled,True,False,Completed
TXN557164,CUST0068,25/01/2024,Account pre-funding deposit,1862.57,Pre-Funding,21:13:10,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN630867,CUST0081,19/01/2024,Internet subscription renewal,2774.35,Bill_Payments,02:20:44,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN279119,CUST0109,02/01/2024,Grocery store card payment,2747.55,Card_Payments,04:51:09,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN810535,CUST0049,25/01/2024,Online purchase - electronics,4980.37,Card_Payments,14:03:39,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN386942,CUST0182,07/01/2024,Money transfer via mobile,18579.09,Transfers,15:57:38,Completed,False,False,False,Failed,Settled,True,False,Pending
TXN991713,CUST0041,26/02/2024,Money transfer via mobile,4.57,Transfers,10:48:03,Completed,False,False,False,Completed,Settled,False,False,Completed
